name,bmse_id,formula,gissmo_name,ph,temperature_k,solvent,roi_rmsd,peak_ppm,frac_area_in_water_window
3-hydroxyphenylacetic-acid,bmse000339,C8H8O3,3-Hydroxyphenylacetic-acid,7.4,298.0,,0.01213,3.4686124314302935,0.0
4-hydroxyphenylacetic-acid,bmse000455,C8H8O3,4-Hydroxyphenylacetic-acid,7.4,298.0,,0.01305,3.4369692761938184,0.0
indole-3-acetic-acid,bmse000177,C10H9NO2,Indole-3-acetic-acid,7.4,298.0,,0.01586,3.652302950309374,0.0
phenylacetate,bmse000220,C8H8O2,Phenylacetic-acid,7.4,298.0,,0.01362,3.5226861777204714,0.0
benzoate,bmse000300,C7H6O2,Benzoate,7.4,298.0,,0.02013,7.858038772878821,0.0
kynurenic-acid,bmse000410,C10H7NO3,Kynurenic-acid,7.4,298.0,,0.0109,6.676026733602399,0.0
5-hydroxyindoleacetate,bmse000364,C10H9NO3,5-Hydroxyindoleacetate,7.4,298.0,,0.01372,3.581085823713865,0.0
pantothenate,bmse000287,C9H17NO5,Pantothenate,7.4,298.0,,0.01005,0.9195359766843918,0.0
scyllo-inositol,bmse000113,C6H12O6,Scyllo-inositol,7.4,298.0,,0.00335,3.3330675740629117,0.0
L-ascorbate,bmse000182,C6H8O6,L-ascorbate,7.4,298.0,,0.01232,3.73064980048981,0.0
