label_column,rank,approach,model_display,balanced_accuracy,accuracy,macro_f1
diabetes_status,18.0,jigsaw,bin_512_frozen,0.5666666666666667,0.5652173913043478,0.5651845130066546
diabetes_status,19.0,jigsaw,bin_512_unfreeze_last_1,0.5568181818181819,0.5565217391304348,0.5563875652371227
diabetes_status,20.0,jigsaw,bin_1024_unfreeze_last_3,0.5522727272727272,0.5478260869565217,0.5450395617772368
diabetes_status,21.0,jigsaw,bin_512_unfreeze_last_3,0.5454545454545454,0.5391304347826087,0.5321974057870904
diabetes_status,22.0,jigsaw,bin_1024_unfreeze_last_2,0.5446969696969697,0.5391304347826087,0.5340570292791071
diabetes_status,23.0,jigsaw,bin_512_unfreeze_last_2,0.531060606060606,0.5304347826086957,0.5303992740471869
diabetes_status,24.0,jigsaw,bin_256_unfreeze_last_3,0.5166666666666666,0.5130434782608696,0.5112325440194293
diabetes_status,25.0,jigsaw,bin_256_unfreeze_last_1,0.5053030303030303,0.5043478260869565,0.5043478260869565
diabetes_status,26.0,jigsaw,bin_256_unfreeze_last_2,0.4992424242424242,0.4956521739130435,0.4937765634486946
diabetes_status,27.0,jigsaw,bin_256_frozen,0.4954545454545455,0.4956521739130435,0.4953087167070218
combined_status,1.0,classical,logistic_regression,0.5322614691809737,0.5739130434782609,0.5316204540888085
combined_status,2.0,classical,svm_rbf,0.511539544047284,0.4782608695652174,0.4795816862773103
combined_status,3.0,classical,xgboost,0.5094286518435125,0.5652173913043478,0.5030538302277433
combined_status,4.0,masking,unfreeze_last_3,0.4820574162679426,0.5739130434782609,0.452549643339117
combined_status,5.0,jigsaw,multibin_frozen,0.4492682240360259,0.5217391304347826,0.4421376951864756
combined_status,6.0,jigsaw,multibin_unfreeze_last_1,0.4362158739093724,0.4956521739130435,0.4349347205222358
combined_status,7.0,masking,unfreeze_last_2,0.4294258373205741,0.5043478260869565,0.4090934684684684
combined_status,8.0,masking,unfreeze_last_1,0.4246411483253589,0.5043478260869565,0.4070419485387452
combined_status,9.0,jigsaw,multibin_unfreeze_last_3,0.419821277793414,0.4695652173913043,0.4173691548691548
combined_status,10.0,jigsaw,bin_2048_unfreeze_last_1,0.4080002814522938,0.4608695652173913,0.4067997059462923
combined_status,11.0,masking,frozen,0.4066985645933014,0.4869565217391304,0.3881804470039763
combined_status,12.0,jigsaw,bin_2048_frozen,0.4032155924570785,0.4608695652173913,0.4065886392009987
combined_status,13.0,jigsaw,bin_512_unfreeze_last_2,0.3998733464677737,0.4608695652173913,0.4031965502851579
combined_status,14.0,jigsaw,bin_512_unfreeze_last_1,0.3965311004784689,0.4608695652173913,0.3820301291248206
combined_status,15.0,jigsaw,bin_512_unfreeze_last_3,0.3963903743315508,0.4347826086956521,0.4093616231235866
combined_status,16.0,jigsaw,bin_256_unfreeze_last_2,0.3942443005910498,0.417391304347826,0.3975991671113622
combined_status,17.0,jigsaw,bin_2048_unfreeze_last_2,0.3933999437095412,0.4434782608695652,0.3962507222669824
combined_status,18.0,jigsaw,multibin_unfreeze_last_2,0.3904095130875317,0.4521739130434782,0.3879860942679279
combined_status,19.0,jigsaw,bin_1024_unfreeze_last_3,0.3832324795947087,0.417391304347826,0.3873028751077532
combined_status,20.0,jigsaw,bin_512_frozen,0.3803827751196172,0.4521739130434782,0.361279355465402
combined_status,21.0,jigsaw,bin_1024_unfreeze_last_2,0.3718688432310723,0.408695652173913,0.3785848522294305
combined_status,22.0,jigsaw,bin_2048_unfreeze_last_3,0.367084154235857,0.408695652173913,0.3670158296345005
combined_status,23.0,jigsaw,bin_1024_unfreeze_last_1,0.3638474528567407,0.4,0.3666962861699703
combined_status,24.0,jigsaw,bin_1024_frozen,0.3622994652406416,0.408695652173913,0.36588595092422
combined_status,25.0,jigsaw,bin_256_unfreeze_last_1,0.3619476498733465,0.4,0.3655170682730924
combined_status,26.0,jigsaw,bin_256_unfreeze_last_3,0.3602589361103293,0.3826086956521739,0.3713614518044713
combined_status,27.0,jigsaw,bin_256_frozen,0.3457993245144948,0.391304347826087,0.3485015353549836
